city,state,crops
Patna,Bihar,"""Rice|Wheat|Maize|Cauliflower|Potato|Onion|Oilseeds|Mango|Litchi|Guava|Sorghum|Bajra|Ragi|Groundnut|Sunflower|Spinach|Beans|Lemon|Jamun|Marigod"""
Nalanda,Bihar,"""Rice|Wheat|Pulses|Potato|Cauliflower|Onion|Spices|Groundnut|Soybean|Bajra|Spinach|Fenugreek|Flowers|Guava"""
Buxar,Bihar,"""Rice|Wheat|Maize|Arhar|Gram|Lentil|Khesari|Mustard|Potato|Sorghum|Bajra|Groundnut|Sunflower|Fenugreek|Spinach"""
Rohtas,Bihar,"""Rice|Wheat|Maize|Lentil|Gram|Oilseeds|Sorghum|Bajra|Groundnut|Fenugreek|Flowers|Soybean"""
Aurangabad,Bihar,"""Rice|Wheat|Maize|Pulses|Oilseeds|Bajra|Sorghum|Groundnut|Sunflower|Flowers|Guava|Papaya"""
Gaya,Bihar,"""Rice|Wheat|Maize|Barley|Pulses|Oilseeds|Sorghum|Bajra|Ragi|Groundnut|Custard Apple|Jamun|Guava"""
Nawada,Bihar,"""Rice|Wheat|Pulses|Oilseeds|Sorghum|Bajra|Groundnut|Fenugreek|Medicinal Plants|Flowers"""
Bhojpur,Bihar,"""Rice|Wheat|Maize|Lentil|Vegetables|Bajra|Sunflower|Fenugreek|Beans|Spinach|Flowers"""
Begusarai,Bihar,"""Rice|Wheat|Maize|Oilseeds|Tobacco|Anise|Jute|Tomato|Chilli|Onion|Fruits|Groundnut|Bajra|Spinach|Papaya|Amla|Medicinal Plants"""
Lakhisarai,Bihar,"""Rice|Wheat|Maize|Mustard|Pulses|Groundnut|Sunflower|Marigold|Spinach|Soybean"""
Munger,Bihar,"""Rice|Wheat|Maize|Mustard|Banana|Amla|Custard Apple|Guava|Medicinal Plants|Flowers"""
Khagaria,Bihar,"""Rice|Maize|Wheat|Banana|Oilseeds|Guava|Jamun|Amla|Spinach|Flowers|Medicinal Plants"""
Samastipur,Bihar,"""Rice|Maize|Wheat|Cauliflower|Onion|Banana|Guava|Lemon|Jamun|Spinach|Beans|Flowers"""
Vaishali,Bihar,"""Rice|Wheat|Cauliflower|Onion|Potato|Banana|Mango|Litchi|Guava|Amla|Jamun|Spinach|Flowers|Medicinal Plants"""
Goraul (Vaishali),Bihar,"""Banana|Mango|Litchi|Betel Leaf|Tobacco|Guava|Jamun|Amla|Lemon|Medicinal Plants"""
Muzaffarpur,Bihar,"""Rice|Wheat|Vegetables|Banana|Mango|Shahi Litchi|Guava|Amla|Spinach|Beans|Jamun|Flowers"""
Sitamarhi,Bihar,"""Rice|Wheat|Maize|Sugarcane|Pulses|Guava|Jamun|Spinach|Beans|Flowers|Medicinal Plants"""
East Champaran,Bihar,"""Rice|Wheat|Maize|Sugarcane|Vegetables|Banana|Guava|Jamun|Amla|Spinach|Flowers"""
West Champaran,Bihar,"""Rice|Wheat|Maize|Sugarcane|Guava|Jamun|Lemon|Spinach|Medicinal Plants"""
Gopalganj,Bihar,"""Rice|Wheat|Maize|Sugarcane|Guava|Jamun|Lemon|Medicinal Plants|Flowers"""
Saran,Bihar,"""Rice|Wheat|Maize|Pulses|Guava|Jamun|Spinach|Beans|Flowers"""
Siwan,Bihar,"""Rice|Wheat|Maize|Pulses|Guava|Jamun|Spinach|Beans|Flowers"""
Madhubani,Bihar,"""Rice|Wheat|Maize|Jute|Pulses|Guava|Jamun|Makhana|Spinach|Flowers|Medicinal Plants"""
Darbhanga,Bihar,"""Rice|Wheat|Maize|Pulses|Vegetables|Mango|Makhana|Guava|Jamun|Lemon|Flowers|Medicinal Plants"""
Saharsa,Bihar,"""Rice|Maize|Banana|Oilseeds|Makhana|Guava|Jamun|Lemon|Flowers"""
Madhepura,Bihar,"""Rice|Maize|Oilseeds|Makhana|Guava|Jamun|Spinach|Flowers"""
Purnia,Bihar,"""Rice|Maize|Jute|Banana|Makhana|Guava|Jamun|Lemon|Medicinal Plants|Flowers"""
Katihar,Bihar,"""Rice|Maize|Jute|Banana|Makhana|Guava|Jamun|Lemon|Medicinal Plants|Flowers"""
Kishanganj,Bihar,"""Rice|Maize|Jute|Banana|Guava|Jamun|Lemon|Medicinal Plants|Flowers"""
Araria,Bihar,"""Rice|Maize|Jute|Banana|Guava|Jamun|Lemon|Medicinal Plants|Flowers"""
